kind,path,date,exists,readable,rows,has_ts_ms,mismatch_rows,ts_ms_mismatch_rows,min_ts,max_ts,min_ts_ms,max_ts_ms,error
tick,data/parquet/tick/MNQ/20251002.parquet,2025-10-02,True,True,1064026,True,0,0,2025-10-02 00:00:00.016000,2025-10-02 23:59:59.847000,1759363200016,1759449599847,
depth,data/parquet/depth/MNQ/20251003.parquet,2025-10-03,True,True,23898768,True,0,0,2025-10-03 00:00:00,2025-10-03 21:00:00.068000,1759449600000,1759525200068,
tick,data/parquet/tick/MNQ/20251003.parquet,2025-10-03,True,True,1152346,True,0,0,2025-10-03 00:00:00.001000,2025-10-03 20:59:59.829000,1759449600001,1759525199829,
depth,data/parquet/depth/MNQ/20251004.parquet,2025-10-04,False,,,,,,,,,,
tick,data/parquet/tick/MNQ/20251004.parquet,2025-10-04,False,,,,,,,,,,
depth,data/parquet/depth/MNQ/20251005.parquet,2025-10-05,False,,,,,,,,,,
tick,data/parquet/tick/MNQ/20251005.parquet,2025-10-05,True,True,35534,True,0,0,2025-10-05 22:00:00,2025-10-05 23:59:59.604000,1759701600000,1759708799604,
depth,data/parquet/depth/MNQ/20251006.parquet,2025-10-06,True,True,18900945,True,0,0,2025-10-06 10:16:17.698000,2025-10-06 23:59:59.995000,1759745777698,1759795199995,
tick,data/parquet/tick/MNQ/20251006.parquet,2025-10-06,True,True,934267,True,0,0,2025-10-06 00:00:00.021000,2025-10-06 23:59:59.948000,1759708800021,1759795199948,
depth,data/parquet/depth/MNQ/20251007.parquet,2025-10-07,True,True,27525298,True,0,0,2025-10-07 00:00:00,2025-10-07 23:59:59.806000,1759795200000,1759881599806,
tick,data/parquet/tick/MNQ/20251007.parquet,2025-10-07,True,True,1235097,True,0,0,2025-10-07 00:00:00.043000,2025-10-07 23:59:59.186000,1759795200043,1759881599186,
depth,data/parquet/depth/MNQ/20251008.parquet,2025-10-08,True,True,17502337,True,0,0,2025-10-08 00:00:00,2025-10-08 23:59:59.999000,1759881600000,1759967999999,
tick,data/parquet/tick/MNQ/20251008.parquet,2025-10-08,True,True,939529,True,0,0,2025-10-08 00:00:00.042000,2025-10-08 23:59:59.993000,1759881600042,1759967999993,
depth,data/parquet/depth/MNQ/20251009.parquet,2025-10-09,True,True,24839419,True,0,0,2025-10-09 00:00:00,2025-10-09 23:59:59.997000,1759968000000,1760054399997,
